"Country","Gender","Literacy Rate"
"malta","Male","92.5"
"mauritania","Male","62.6"
"mauritius","Male","92.9"
"mexico","Male","95.6"
"moldova","Male","99.7"
"mongolia","Male","98.2"
"morocco","Male","82.7"
"mozambique","Male","73.3"
"namibia","Male","79.2"
"nepal","Male","75.6"
"netherlands","Male","99"
"new zealand","Male","99"
"nicaragua","Male","82.4"
"niger","Male","27.3"
"nigeria","Male","69.2"
"norway","Male","100"
"oman","Male","96.9"
"pakistan","Male","69.6"
"panama","Male","95.7"
"papua new guinea","Male","65.6"
"paraguay","Male","96.1"
"peru","Male","97.3"
"philippines","Male","95.8"
"poland","Male","99.9"
"portugal","Male","96.9"
"qatar","Male","97.9"
"romania","Male","99.1"
"rwanda","Male","73.2"
"samoa","Male","98.9"
"saudi arabia","Male","97"
"senegal","Male","68.5"
"serbia","Male","99.1"
"seychelles","Male","94.7"
"sierra leone","Male","58.7"
"singapore","Male","98.7"
"slovenia","Male","99.7"
"solomon islands","Male","84.1"
"south africa","Male","95.5"
"spain","Male","98.7"
"sri lanka","Male","93.6"
"sudan","Male","59.8"
"suriname","Male","96.1"
"swaziland","Male","87.4"
"sweden","Male","99"
"switzerland","Male","99"
"tajikistan","Male","99.8"
"thailand","Male","96.6"
"togo","Male","78.3"
"tonga","Male","99.3"
"trinidad and tobago","Male","99.2"
"tunisia","Male","89.6"
"turkey","Male","98.4"
"turkmenistan","Male","99.8"
"uganda","Male","80.8"
"ukraine","Male","99.8"
"united arab emirates","Male","93.1"
"united kingdom","Male","99"
"united states","Male","99"
"uruguay","Male","98.1"
"uzbekistan","Male","99.7"
"vanuatu","Male","86.6"
"vietnam","Male","96.3"
"zambia","Male","70.9"
"zimbabwe","Male","88.5"
"afghanistan","Female","24.2"
"albania","Female","96.8"
"algeria","Female","73.1"
"angola","Female","60.7"
"argentina","Female","98.1"
"armenia","Female","99.7"
"australia","Female","99"
"azerbaijan","Female","99.7"
"bahrain","Female","93.5"
"bangladesh","Female","69.9"
"barbados","Female","99.7"
"belarus","Female","99.7"
"belgium","Female","99"
"belize","Female","83"
"benin","Female","27.3"
"bhutan","Female","55"
"bolivia","Female","93.6"
"bosnia and herzegovina","Female","97.5"
"botswana","Female","88.9"
"brazil","Female","92.1"
"bulgaria","Female","98.1"
"burkina faso","Female","29.3"
"burundi","Female","83.1"
"cambodia","Female","70.5"
"cameroon","Female","68.9"
"canada","Female","99"
"chad","Female","31.9"
"chile","Female","97.2"
"china","Female","94.5"
"colombia","Female","94.8"
"comoros","Female","73.7"
"costa rica","Female","97.8"
"croatia","Female","98.9"
"cuba","Female","99.8"
"cyprus","Female","98.7"
"czech republic","Female","99"
"denmark","Female","99"
"djibouti","Female","67.9"
"dominican republic","Female","92.3"
"ecuador","Female","93.5"
"el salvador","Female","86.4"
"equatorial guinea","Female","93"
"estonia","Female","99.8"
"ethiopia","Female","41.1"
"fiji","Female","93.7"
"finland","Female","100"
"france","Female","99"
"gabon","Female","81"
"georgia","Female","99.7"
"germany","Female","99"
"ghana","Female","71.4"
"greece","Female","96.9"
"guatemala","Female","74.4"
"guinea","Female","22.8"
"guinea-bissau","Female","48.3"
"guyana","Female","89.8"
"haiti","Female","57.3"
"honduras","Female","88.6"
"hungary","Female","99"
"iceland","Female","99"
"india","Female","59.3"
"indonesia","Female","91.5"
"iraq","Female","38"
"ireland","Female","99"
"israel","Female","97.8"
"italy","Female","99"
"jamaica","Female","93.1"
"japan","Female","99"
"jordan","Female","97.4"
"kazakhstan","Female","99.8"
"kenya","Female","74.9"
"kuwait","Female","95"
"latvia","Female","99.9"
"lebanon","Female","91.8"
"lesotho","Female","88.3"
"liberia","Female","32.8"
"liechtenstein","Female","100"
"lithuania","Female","99.8"
"luxembourg","Female","100"
"madagascar","Female","62.6"
"malawi","Female","58.6"
"malaysia","Female","93.2"
"maldives","Female","98.8"
"mali","Female","29.2"
"malta","Female","95.7"
"mauritania","Female","41.6"
"mauritius","Female","88.5"
"mexico","Female","93.3"
"moldova","Female","99.1"
"mongolia","Female","98.6"
"morocco","Female","62.5"
"mozambique","Female","45.4"
"namibia","Female","84.5"
"nepal","Female","55.1"
"netherlands","Female","99"
"new zealand","Female","99"
"nicaragua","Female","83.2"
"niger","Female","11"
"nigeria","Female","49.7"
"norway","Female","100"
"oman","Female","90"
"pakistan","Female","42.7"
"panama","Female","94.4"
"papua new guinea","Female","62.8"
"paraguay","Female","95"
"peru","Female","91.7"
"philippines","Female","96.8"
"poland","Female","99.7"
"portugal","Female","94.1"
"qatar","Female","97.3"
"romania","Female","98.5"
"rwanda","Female","68"
"samoa","Female","99.1"
"saudi arabia","Female","91.1"
"senegal","Female","43.8"
"serbia","Female","97.2"
"seychelles","Female","95.7"
"sierra leone","Female","37.7"
"singapore","Female","95.1"
"slovenia","Female","99.7"
"solomon islands","Female","84.1"
"south africa","Female","93.1"
"spain","Female","97.5"
"sri lanka","Female","91.7"
"sudan","Female","46.7"
"suriname","Female","95"
"swaziland","Female","87.5"
"sweden","Female","99"
"switzerland","Female","99"
"tajikistan","Female","99.7"
"thailand","Female","96.7"
"togo","Female","55.3"
"tonga","Female","99.4"
"trinidad and tobago","Female","98.7"
"tunisia","Female","74.2"
"turkey","Female","91.8"
"turkmenistan","Female","99.6"
"uganda","Female","66.9"
"ukraine","Female","99.7"
"united arab emirates","Female","95.8"
"united kingdom","Female","99"
"united states","Female","99"
"uruguay","Female","98.7"
"uzbekistan","Female","99.5"
"vanuatu","Female","83.8"
"vietnam","Female","92.8"
"zambia","Female","56"
"zimbabwe","Female","84.6"
